No,입력시간(KST),날짜,연도,월,일,요일,플랫폼 1,플랫폼 2,콘텐츠 구분,프로그램,담당 부서,콘텐츠 제목,콘텐츠 형식,콘텐츠 내용,게시 담당자,진행 상태,비고,신청자,결과_링크,결과_첨부URL,결과_비고,직전 상태,상태 변경 KST,보류사유,재신청사유,취소사유,공연ID,
89,2026-07-03 15:50:00,2026-07-03 00:00:00,2026,7,3,금요일,카카오톡,-,공연,브런치 콘서트 Ⅲ <현 위로 흐르는 계절>,예술사업팀,브런치 콘서트 T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문 (76자)]
잠시 후 4시 티켓오픈!

클래식 기타, 바이올린, 퍼커션, 더블베이스가 빚어내는 뜨거운 하모니와 함께 가을날의 낭만을 느껴보세요🍂",Avery Reed 08336,취소,폴더 불러오기가 안되네요..ㅠㅠ 공유폴더>20260903 브런치콘서트 내에서 이미지 확인 부탁드립니다,Jordan Hayes 05274,,,,예정,2026-07-03 17:20:02,,,ㄱ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2026-07-02 14:00:00,2026-07-02 00:00:00,2026,7,2,목요일,인스타그램,-,공연,브런치 콘서트 Ⅲ <현 위로 흐르는 계절>,예술사업팀,브런치 티켓오픈 안내,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
브런치 콘서트 <현 위로 흐르는 계절: 열정과 고독사이>
7월 3일 16시 티켓 오픈!

청명한 가을 하늘 아래, 변화하는 계절의 감각을
클래식 기타, 바이올린, 퍼커션, 더블베이스가 빚어내는 뜨거운 하모니와 느껴보세요 🍃🍂

# 프로그램 개요
📍일 시 : 2026. 9. 3. (목) 11:00
📍장 소 : GS칼텍스 예울마루 대극장
📍가 격 : 전석 2만원
     예울마루 홈페이지에서 예매하면 회원 할인 10% !
📍관람 가능 연령 : 초등학생이상",Cameron Lane 09790,완료,20260903 브런치콘서트 내 이미지 참고 부탁드립니다,Jordan Hayes 05274,https://www.instagram.com/p/DaR0e0kRgOz/,,,예정,2026-07-02 14:27:09,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2026-07-08 15:00:00,2026-07-08 00:00:00,2026,7,8,수요일,문자,프로그램 대상 타겟 회원,공연,조재혁 피아노 리사이틀,예술사업팀,조재혁 리사이틀 T/O,텍스트,"[타겟]
- 연령대: 30~50세
- 거주지: 전남권역
- 관심 장르: 클래식

[본문]
(광고) GS칼텍스 예울마루


TBU

- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",Avery Reed 08336,완료,,Jordan Hayes 05274,,,,예정,2026-08-12 09:11:01,,,,,
93,2026-07-08 15:50:00,2026-07-08 00:00:00,2026,7,8,수요일,카카오톡,-,공연,조재혁 피아노 리사이틀,예술사업팀,조재혁 리사이틀 T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문 (76자)]
TBU(차주 업데이트 예정) 
TBU(차주 업데이트 예정)",Avery Reed 08336,완료,,Jordan Hayes 05274,,,,예정,2026-08-12 09:10:27,,,,,
95,2026-07-10 15:00:00,2026-07-10 00:00:00,2026,7,10,금요일,문자,프로그램 대상 타겟 회원,공연,뮤지컬 <달 샤베트>,예술사업팀,뮤지컬 <달 샤베트> T/O,텍스트,"[타겟]
- 연령대: 30~50세
- 거주지: 여수·순천·광양
- 관심 장르: 가족공연

[본문]
(광고) GS칼텍스 예울마루


TBU

- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",Avery Reed 08336,완료,,Jordan Hayes 05274,,,,예정,2026-07-10 09:54:32,,,,,
95,2026-07-10 15:50:00,2026-07-10 00:00:00,2026,7,10,금요일,카카오톡,-,공연,뮤지컬 <달 샤베트>,예술사업팀,뮤지컬 <달 샤베트> T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문 (76자)]
TBU(차주 업데이트 예정)
TBU(차주 업데이트 예정)",Avery Reed 08336,완료,,Jordan Hayes 05274,,,,예정,2026-07-10 09:55:04,,,,,
96,2026-07-10 16:00:00,2026-07-10 00:00:00,2026,7,10,금요일,인스타그램,-,공연,뮤지컬 <달 샤베트>,예술사업팀,뮤지컬 <달 샤베트> T/O,영상,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents

[본문]
TBU(차주 업데이트 예정)

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Jordan Hayes 05274,https://www.instagram.com/p/Dammy5OEck6/?img_index=1,,,예정,2026-07-10 16:08:43,,,,,
97,2026-07-11 16:00:00,2026-07-11 00:00:00,2026,7,11,토요일,블로그·맘카페,블로그,공연,뮤지컬 <달 샤베트>,예술사업팀,티켓오픈,텍스트,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[글 작성 방향]
TBU(차주 업데이트 예정)





















































































",Cameron Lane 09790,완료,"블로그, 맘카페 동시 게시 희망",Jordan Hayes 05274,https://blog.naver.com/gscaltex_yeulmaru/224343460938,,,예정,2026-07-11 16:25:15,,,,,
98,2026-07-15 15:00:00,2026-07-15 00:00:00,2026,7,15,수요일,문자,프로그램 대상 타겟 회원,공연,뮤지컬 <러커스 더 스쿨>,예술사업팀,러커스더스쿨 T/O,텍스트,"[타겟]
- 연령대: 20~50세
- 거주지: 무관
- 관심 장르: 가족/어린이

[본문]
(광고) GS칼텍스 예울마루


TBU(차주 업데이트 예정)

- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",Avery Reed 08336,완료,,Jordan Hayes 05274,,,,예정,2026-07-15 16:36:37,,,,,
99,2026-07-15 14:00:00,2026-07-15 00:00:00,2026,7,15,수요일,인스타그램,-,공연,뮤지컬 <러커스 더 스쿨>,예술사업팀,러커스더스쿨 T/O,영상,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
TBU

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Jordan Hayes 05274,,,,예정,2026-07-15 16:21:37,,,,,
99,2026-07-03 15:00:00,2026-07-03 00:00:00,2026,7,3,금요일,문자,마케팅 수신 회원,공연,브런치 콘서트 Ⅲ <현 위로 흐르는 계절>,예술사업팀,브런치 콘서트 T/O,텍스트,"[본문]
(광고) GS칼텍스 예울마루


-

- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",Avery Reed 08336,완료,,Avery Reed 08336,,,,예정,2026-07-03 15:49:25,,,,46268,
97,2026-07-03 15:00:00,2026-07-03 00:00:00,2026,7,3,금요일,인스타그램,-,공연,브런치 콘서트 Ⅲ <현 위로 흐르는 계절>,예술사업팀,티켓 오픈,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General > 2. 기획 공연 — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General/2.%20%EA%B8%B0%ED%9A%8D%20%EA%B3%B5%EC%97%B0

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Cameron Lane 09790,https://www.instagram.com/p/DaUlGxjk_V-/?img_index=1,,,예정,2026-07-03 17:03:50,,,,46268,
100,2026-07-15 16:00:00,2026-07-15 00:00:00,2026,7,15,수요일,블로그·맘카페,블로그,공연,뮤지컬 <러커스 더 스쿨>,예술사업팀,러커스더스쿨 T/O,텍스트,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[글 작성 방향]
TBU




































































































",Cameron Lane 09790,완료,,Jordan Hayes 05274,https://blog.naver.com/gscaltex_yeulmaru/224347635406,,,예정,2026-07-15 17:47:56,,,,,
102,2026-07-08 15:00:00,2026-07-08 00:00:00,2026,7,8,수요일,인스타그램,-,공연,조재혁 피아노 리사이틀,예술사업팀,티켓 오픈,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Cameron Lane 09790,https://www.instagram.com/yeulmaru/p/DahWiuhEYpo/,,,예정,2026-07-08 15:20:09,,,,,
104,2026-07-14 18:00:00,2026-07-14 00:00:00,2026,7,14,화요일,블로그·맘카페,블로그,공연,브런치 콘서트 Ⅲ <현 위로 흐르는 계절>,예술사업팀,9월 브런치 콘서트 홍보,텍스트,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[글 작성 방향]
9월 브런치 콘서트 홍보 목적 블로그 포스팅 업로드.
""클래식 기타, 바이올린, 퍼커션, 더블베이스 네 개의 악기가 황홀하게 빚어내는 뜨겁고 낭만적인 하모니에 흠뻑 빠져 보세요.""",Cameron Lane 09790,완료,,Cameron Lane 09790,https://blog.naver.com/gscaltex_yeulmaru/224345989772,,,예정,2026-07-14 10:19:25,,,,46268,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2026-07-15 15:50:00,2026-07-15 00:00:00,2026,7,15,수요일,카카오톡,-,공연,뮤지컬 <러커스 더 스쿨>,예술사업팀,러커스더스쿨 T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General",Avery Reed 08336,완료,,Avery Reed 08336,,,,예정,2026-07-15 16:21:21,,,,,
107,2026-07-22 15:00:00,2026-07-22 00:00:00,2026,7,22,수요일,문자,마케팅 수신 회원,공연,다비드 바뱅 & 아드리앙 몽도 <피아노 & 피아노>,예술사업팀,피아노피아노 티켓오픈,텍스트,"[본문]
(광고) GS칼텍스 예울마루


다비드 바뱅 & 아드리앙 몽도 <피아노 피아노> 
오늘 4시 티켓오픈!

피아니스트와 디지털 아티스트의 아주 특별한 연주회로 여러분을 초대합니다.
피아노 선율과 퍼포먼스, 무대를 압도하는 디지털 아트까지..
오직 하루만 만날 수 있는 환상적인 시간을 절대 놓치지 마세요.

♬ 공연일시: 2026. 10. 27(화) 19:30
♬ 공연장소: GS칼텍스 예울마루 대극장
♬ 관람연령: 초등학생 이상 관람 가능
♬ 내용상세: https://www.yeulmaru.org/performance/v/?u=1288

- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",Avery Reed 08336,완료,,Avery Reed 08336,,,,예정,2026-07-22 17:54:55,,,,261027_01,
108,2026-07-22 15:50:00,2026-07-22 00:00:00,2026,7,22,수요일,카카오톡,-,공연,다비드 바뱅 & 아드리앙 몽도 <피아노 & 피아노>,예술사업팀,피아노피아노 T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General",상관 없음,완료,,Avery Reed 08336,,,,예정,2026-07-22 17:54:45,,,,261027_01,
109,2026-07-22 16:00:00,2026-07-22 00:00:00,2026,7,22,수요일,인스타그램,-,공연,다비드 바뱅 & 아드리앙 몽도 <피아노 & 피아노>,예술사업팀,피아노피아노 T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",상관 없음,완료,,Jordan Hayes 05274,,,,예정,2026-07-22 17:54:12,,,,261027_01,
110,2026-07-09 05:03:00,2026-07-09 00:00:00,2026,7,9,목요일,카카오톡,-,공연,브런치 콘서트 Ⅲ <현 위로 흐르는 계절>,예술사업팀,브런치 Ⅲ,,,,취소,,Avery Reed 08336,,,,예정,2026-07-02 12:38:59,,,,260903_01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2026-07-09 05:03:00,2026-07-09 00:00:00,2026,7,9,목요일,문자,-,공연,브런치 콘서트 Ⅲ <현 위로 흐르는 계절>,예술사업팀,브런치 Ⅲ,텍스트,"[본문]
(광고) GS칼텍스 예울마루




- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",,취소,,Avery Reed 08336,,,,예정,2026-07-09 22:32:04,,,,260903_01,
113,2026-07-09 05:03:00,2026-07-09 00:00:00,2026,7,9,목요일,B2B,-,공연,브런치 콘서트 Ⅲ <현 위로 흐르는 계절>,예술사업팀,브런치 Ⅲ,,,,취소,,Avery Reed 08336,,,,예정,2026-07-09 22:32:11,,,,260903_01,
114,2026-07-03 17:00:00,2026-07-03 00:00:00,2026,7,3,금요일,인스타그램,-,공연,브런치 콘서트 Ⅲ <현 위로 흐르는 계절>,예술사업팀,브런치 콘서트 티켓 오픈 홍보 릴스,영상,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀
바로 지금! 7월 3일 오후 4시 티켓 오픈!

브런치 콘서트 <현 위로 흐르는 계절: 열정과 고독 사이>
🎼프로그램 파트 1을 소개합니다🎵

# 소개 문구
청명한 가을 하늘 아래, 변화하는 계절의 감각을
클래식 기타, 바이올린, 퍼커션, 더블베이스가 빚어내는
뜨겁고 낭만적인 하모니에 흠뻑 빠질 수 있는 기회!🍂❤️‍🔥

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)
- 클래식 기타, 해설: 김진택 @jt_art_br
- 바이올린: 윤염광 @ldyiik
- 퍼커션: 파코 드 진
- 베이시스트: 진영환 @jinyounghwan

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Cameron Lane 09790,https://www.instagram.com/p/DaUptrIzgeU/,,,예정,2026-07-03 17:06:34,,,,260903_01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2026-07-21 10:00:00,2026-07-21 00:00:00,2026,7,21,화요일,인스타그램,-,전시,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,예술사업팀,숨: 쉬는 섬,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀
쉬었다 갈래?
우리 SUM에서

# 소개 문구
🏝️ 기획전시 < 숨: 쉬는 섬 - BREATHING ISLAND>

여러분의 마음 속 ‘섬’은 어떤 모습인가요.
파도 소리, 부드러운 모래, 
아무도 없는 고요한 풍경을 떠올리셨나요.
 
하지만 우리가 찾고 싶은 섬은 
멀리 있는 어딘가 가 아니라, 
이미 내 안에 머물고 있는 곳일지도 모릅니다.
 
GS칼텍스 예울마루 <숨: 쉬는 섬>은 
잠시 멈춰, 나에게로 돌아가는 시간입니다.
지친 마음을 내려놓고 천천히 숨을 고르며 
잊고 있던 나만의 풍경을 만나보세요.
 
그 섬에서
 
가장 조용하고 깊은 쉼, 
그리고 가장 순수한 나를 발견하게 될 것입니다.

# 프로그램 개요
🏝️일 시 : 2026. 7. 21. (화) ~ 2026. 10. 18. (일) | 매주 월요일 휴관
🏝️시 간 : 10:00 ~ 18:00 (17:30 입장 마감)
🏝️장 소 : GS칼텍스 예울마루 7층 전시실
🏝️관람료: 5,000원 (전 연령)
🏝️도슨트 (주말, 공휴일) 11시/ 14시/16시 (1일 3회)
* 단체 관람객 도슨트와 시간이 겹칠 경루, 추가 도슨트 운영을 하지 않습니다. *

# 태그(출연진 또는 작가)

🏝️ 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Jordan Bennett 22946,https://www.instagram.com/p/DbCSUPwvXlK/,,,예정,2026-07-21 10:39:37,,,,260721_01,
117,2026-07-07 14:10:00,2026-07-07 00:00:00,2026,7,7,화요일,기타,-,공연,기타,예술사업팀,공연 전시 상품 등록,텍스트,"[플랫폼명]
티켓셀러

[홍보 의도]
-",상관 없음,예정,,Avery Reed 08336,,,,,2026-07-07 14:07:08,,,,,
